,Province/State,Country,Last Update,Confirmed,Deaths,Recovered
102,Guangdong,Mainland China,1/25/2020 12:00 PM,98,0,2
103,Henan,Mainland China,1/25/2020 12:00 PM,83,1,0
104,Chongqing,Mainland China,1/25/2020 12:00 PM,75,0,0
105,Hunan,Mainland China,1/25/2020 12:00 PM,69,0,0
106,Anhui,Mainland China,1/25/2020 12:00 PM,60,0,0
107,Beijing,Mainland China,1/25/2020 12:00 PM,51,0,2
108,Sichuan,Mainland China,1/25/2020 12:00 PM,44,0,0
109,Shanghai,Mainland China,1/25/2020 12:00 PM,40,1,1
110,Shandong,Mainland China,1/25/2020 12:00 PM,39,0,0
111,Jiangxi,Mainland China,1/25/2020 12:00 PM,36,0,0
112,Guangxi,Mainland China,1/25/2020 12:00 PM,33,0,0
113,Jiangsu,Mainland China,1/25/2020 12:00 PM,31,0,1
114,Hainan,Mainland China,1/25/2020 12:00 PM,19,0,0
115,Liaoning,Mainland China,1/25/2020 12:00 PM,19,0,0
116,Fujian,Mainland China,1/25/2020 12:00 PM,18,1,0
117,Heilongjiang,Mainland China,1/25/2020 12:00 PM,15,0,0
118,Shaanxi,Mainland China,1/25/2020 12:00 PM,15,0,0
119,Tianjin,Mainland China,1/25/2020 12:00 PM,13,0,0
120,Hebei,Mainland China,1/25/2020 12:00 PM,13,1,0
121,Yunnan,Mainland China,1/25/2020 12:00 PM,11,0,0
122,Shanxi,Mainland China,1/25/2020 12:00 PM,9,0,0
123,Inner Mongolia,Mainland China,1/25/2020 12:00 PM,7,0,0
124,Gansu,Mainland China,1/25/2020 12:00 PM,7,0,0
125,Guizhou,Mainland China,1/25/2020 12:00 PM,5,0,0
126,Ningxia,Mainland China,1/25/2020 12:00 PM,4,0,0
127,Jilin,Mainland China,1/25/2020 12:00 PM,4,0,0
128,Xinjiang,Mainland China,1/25/2020 12:00 PM,4,0,0
129,Qinghai,Mainland China,1/25/2020 12:00 PM,1,0,0
130,Hubei,Mainland China,1/26/2020 23:00,1423,76,44
131,Guangdong,Mainland China,1/26/2020 23:00,146,0,2
132,Zhejiang,Mainland China,1/26/2020 23:00,128,0,1
133,Henan,Mainland China,1/26/2020 23:00,128,1,0
134,Chongqing,Mainland China,1/26/2020 23:00,110,0,0
135,Hunan,Mainland China,1/26/2020 23:00,100,0,0
136,Anhui,Mainland China,1/26/2020 23:00,70,0,0
137,Sichuan,Mainland China,1/26/2020 23:00,69,0,0
138,Beijing,Mainland China,1/26/2020 23:00,68,0,2
139,Shandong,Mainland China,1/26/2020 23:00,63,0,0
140,Shanghai,Mainland China,1/26/2020 23:00,53,1,1
141,Jiangxi,Mainland China,1/26/2020 23:00,48,0,0
142,Jiangsu,Mainland China,1/26/2020 23:00,47,0,1
143,Guangxi,Mainland China,1/26/2020 23:00,46,0,0
144,Fujian,Mainland China,1/26/2020 23:00,35,0,0
145,Liaoning,Mainland China,1/26/2020 23:00,23,0,0
146,Hainan,Mainland China,1/26/2020 23:00,22,0,0
147,Shaanxi,Mainland China,1/26/2020 23:00,22,0,0
148,Heilongjiang,Mainland China,1/26/2020 23:00,21,1,0
149,Yunnan,Mainland China,1/26/2020 23:00,19,0,0
150,Hebei,Mainland China,1/26/2020 23:00,18,1,0
151,Tianjin,Mainland China,1/26/2020 23:00,14,0,0
152,Gansu,Mainland China,1/26/2020 23:00,14,0,0
153,Shanxi,Mainland China,1/26/2020 23:00,13,0,0
154,Inner Mongolia,Mainland China,1/26/2020 23:00,11,0,0
155,Hong Kong,Hong Kong,1/26/2020 23:00,8,0,0
156,Guizhou,Mainland China,1/26/2020 23:00,7,0,0
157,Jilin,Mainland China,1/26/2020 23:00,6,0,0
158,Macau,Macau,1/26/2020 23:00,6,0,0
159,Xinjiang,Mainland China,1/26/2020 23:00,5,0,0
160,Ningxia,Mainland China,1/26/2020 23:00,4,0,0
161,Qinghai,Mainland China,1/26/2020 23:00,4,0,0
162,Hubei,Mainland China,1/27/2020 20:30,2714,100,47
163,Zhejiang,Mainland China,1/27/2020 20:30,173,0,1
164,Henan,Mainland China,1/27/2020 20:30,168,1,0
165,Guangdong,Mainland China,1/27/2020 20:30,151,0,4
166,Chongqing,Mainland China,1/27/2020 20:30,132,0,0
167,Anhui,Mainland China,1/27/2020 20:30,106,0,0
168,Hunan,Mainland China,1/27/2020 20:30,100,0,0
169,Sichuan,Mainland China,1/27/2020 20:30,90,0,0
170,Shandong,Mainland China,1/27/2020 20:30,87,1,0
171,Beijing,Mainland China,1/27/2020 20:30,80,1,2
172,Jiangxi,Mainland China,1/27/2020 20:30,72,0,2
173,Jiangsu,Mainland China,1/27/2020 20:30,70,0,1
174,Shanghai,Mainland China,1/27/2020 20:30,66,1,3
175,Fujian,Mainland China,1/27/2020 20:30,59,0,0
176,Guangxi,Mainland China,1/27/2020 20:30,51,0,0
177,Shaanxi,Mainland China,1/27/2020 20:30,35,0,0
178,Hainan,Mainland China,1/27/2020 20:30,33,1,0
179,Hebei,Mainland China,1/27/2020 20:30,33,1,0
180,Heilongjiang,Mainland China,1/27/2020 20:30,30,1,0
181,Liaoning,Mainland China,1/27/2020 20:30,27,0,0
182,Yunnan,Mainland China,1/27/2020 20:30,26,0,0
183,Tianjin,Mainland China,1/27/2020 20:30,23,0,0
184,Shanxi,Mainland China,1/27/2020 20:30,20,0,0
185,Gansu,Mainland China,1/27/2020 20:30,19,0,0
186,Inner Mongolia,Mainland China,1/27/2020 20:30,11,0,0
187,Guizhou,Mainland China,1/27/2020 20:30,9,0,0
188,Hong Kong,Hong Kong,1/27/2020 20:30,8,0,0
189,Ningxia,Mainland China,1/27/2020 20:30,7,0,0
190,Jilin,Mainland China,1/27/2020 20:30,6,0,0
191,Macau,Macau,1/27/2020 20:30,6,0,0
192,Qinghai,Mainland China,1/27/2020 20:30,6,0,0
193,Xinjiang,Mainland China,1/27/2020 20:30,5,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Hubei,Mainland China,1/28/2020 23:00,3554,125,80
,Zhejiang,Mainland China,1/28/2020 23:00,296,0,3
,Guangdong,Mainland China,1/28/2020 23:00,241,0,5
,Hunan,Mainland China,1/28/2020 23:00,221,0,0
,Henan,Mainland China,1/28/2020 23:00,206,2,1
,Anhui,Mainland China,1/28/2020 23:00,152,0,0
,Chongqing,Mainland China,1/28/2020 23:00,147,0,1
,Shandong,Mainland China,1/28/2020 23:00,121,0,0
,Jiangxi,Mainland China,1/28/2020 23:00,109,0,3
,Sichuan,Mainland China,1/28/2020 23:00,108,0,0
,Jiangsu,Mainland China,1/28/2020 23:00,99,0,1
,Beijing,Mainland China,1/28/2020 23:00,91,1,4
,Fujian,Mainland China,1/28/2020 23:00,82,0,0
,Shanghai,Mainland China,1/28/2020 23:00,80,1,4
,Guangxi,Mainland China,1/28/2020 23:00,58,0,2
,Shaanxi,Mainland China,1/28/2020 23:00,56,0,0
,Hebei,Mainland China,1/28/2020 23:00,48,1,0
,Yunnan,Mainland China,1/28/2020 23:00,44,0,0
,Hainan,Mainland China,1/28/2020 23:00,43,1,0
,Heilongjiang,Mainland China,1/28/2020 23:00,37,1,0
,Liaoning,Mainland China,1/28/2020 23:00,36,0,0
,Shanxi,Mainland China,1/28/2020 23:00,27,0,0
,Tianjin,Mainland China,1/28/2020 23:00,25,0,0
,Gansu,Mainland China,1/28/2020 23:00,24,0,0
,Inner Mongolia,Mainland China,1/28/2020 23:00,16,0,0
,Xinjiang,Mainland China,1/28/2020 23:00,13,0,0
,Ningxia,Mainland China,1/28/2020 23:00,12,0,0
,Guizhou,Mainland China,1/28/2020 23:00,9,0,0
,Jilin,Mainland China,1/28/2020 23:00,9,0,0
,Hong Kong,Hong Kong,1/28/2020 23:00,8,0,0
,,,,,,
,,,,,,
,Qinghai,Mainland China,1/28/2020 23:00,6,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Hubei,Mainland China,1/29/2020 21:00,4586,162,90
,Zhejiang,Mainland China,1/29/2020 21:00,428,0,4
,Guangdong,Mainland China,1/29/2020 21:00,311,0,6
,Henan,Mainland China,1/29/2020 21:00,278,2,2
,Hunan,Mainland China,1/29/2020 21:00,277,0,0
,Anhui,Mainland China,1/29/2020 21:00,200,0,2
,Chongqing,Mainland China,1/29/2020 21:00,165,0,1
,Jiangxi,Mainland China,1/29/2020 21:00,162,0,4
,Shandong,Mainland China,1/29/2020 21:00,145,0,1
,Sichuan,Mainland China,1/29/2020 21:00,142,1,1
,Jiangsu,Mainland China,1/29/2020 21:00,129,0,1
,Beijing,Mainland China,1/29/2020 21:00,111,1,4
,Shanghai,Mainland China,1/29/2020 21:00,101,1,5
,Fujian,Mainland China,1/29/2020 21:00,101,0,0
,Guangxi,Mainland China,1/29/2020 21:00,78,0,2
